make,model,yom,transmission,fuel_type,engine_capacity,mileage,price
MITSUBISHI,MONTERO,2017,AUTOMATIC,DIESEL,3200,152000,38000000
MITSUBISHI,MONTERO SPORT,2013,AUTOMATIC,DIESEL,2500,156000,15950000
MITSUBISHI,OUTLANDER PHEV G PREMIUM,2014,AUTOMATIC,HYBRID,1990,160000,12500000
MITSUBISHI,MONTERO SPORT,2012,AUTOMATIC,DIESEL,2500,183000,14500000
MITSUBISHI,MONTERO SPORT,2012,AUTOMATIC,DIESEL,2500,165000,19500000
MITSUBISHI,4DR5 J20D,1968,MANUAL,DIESEL,2500,185000,2750000
MITSUBISHI,L200 K34,1995,MANUAL,DIESEL,2500,220000,4650000
MAHINDRA,JEEP,1989,MANUAL,DIESEL,2153,200000,1450000
MAHINDRA,BOLERO,2006,MANUAL,DIESEL,-,100000,1575000
MAHINDRA,BOLERO,2012,MANUAL,DIESEL,100,52,2525000
MAHINDRA,BOLERO,2025,MANUAL,DIESEL,2523,-,4995000
MAZDA,BF3P,1985,MANUAL,PETROL,1300,53454,1050000
MAZDA,6,2014,AUTOMATIC,PETROL,2000,10176,13000000
MAZDA,FAMILIA BJ5P,2001,AUTOMATIC,PETROL,1500,170000,4350000
MAZDA,FAMILIA 323,1986,MANUAL,PETROL,1500,195645,775000
MAZDA,MR 90 JAPAN,1994,MANUAL,PETROL,1400,199000,1225000
MAZDA,BJ5,2001,AUTOMATIC,PETROL,1500,170000,3800000
MAZDA,FAMILIA BJ5P,2001,AUTOMATIC,PETROL,1500,149000,3790000
MAZDA,BRAWNY,1993,MANUAL,DIESEL,2950,-,4350000
MAZDA,BONGO,1996,MANUAL,DIESEL,2180,321000,4150000
MAZDA,BRAWNY,1992,MANUAL,DIESEL,-,-,3675000
MAZDA,BRAWNY,1979,MANUAL,DIESEL,1930,200000,2200000
MAZDA,MAZDA,1993,MANUAL,DIESEL,19000,169000,3495000
MAZDA,BONGO,1993,MANUAL,DIESEL,2180,67000,4250000
DAIHATSU,KANCIL,2002,MANUAL,PETROL,850,144000,2635000
DAIHATSU,MOVE WAGON SAFETY,2023,AUTOMATIC,PETROL,660,25000,8750000
DAIHATSU,G DARK CHROME VENTURE TURBO,2024,AUTOMATIC,PETROL,650,-,9675000
DAIHATSU,COPEN ROBE,2016,AUTOMATIC,PETROL,660,29000,7400000
DAIHATSU,TAFT G DARK CHROME VENTURE TURBO,2023,AUTOMATIC,PETROL,660,26700,9150000
