make,model,yom,transmission,fuel_type,engine_capacity,mileage,price
BYD,ATTO 3 EXTENDED,2025,AUTOMATIC,ELECTRIC,1000,0,16800000
BYD,ATTO 3 STANDARD,2025,AUTOMATIC,ELECTRIC,1000,0,14650000
BYD,ATTO 3 ADVANCED,2025,AUTOMATIC,ELECTRIC,1000,0,14650000
BYD,ATTO 3 SUPERIOR,2025,AUTOMATIC,ELECTRIC,1000,0,16800000
BYD,SEALION 6 SUPERIOR,2025,AUTOMATIC,PETROL + ELECTRIC,1000,0,21700000
BYD,SEALION 6 PREMIUM,2025,AUTOMATIC,PETROL + ELECTRIC,1000,0,25300000
BYD,DOLPHIN STD,2025,AUTOMATIC,ELECTRIC,1000,0,10725000
BYD,DOLPHIN DYNAMIC 49,2025,AUTOMATIC,ELECTRIC,1000,0,10725000
BYD,DOLPHIN DYNAMIC 70,2025,AUTOMATIC,ELECTRIC,1000,0,11785000
BYD,DOLPHIN PREMIUM 99,2025,AUTOMATIC,ELECTRIC,1000,0,17425000
BYD,DOLPHIN PREMIUM 150,2025,AUTOMATIC,ELECTRIC,1000,0,21600000
BYD,M6 STANDARD CAPTAIN,2025,AUTOMATIC,ELECTRIC,1000,0,16270000
BYD,M6 STANDARD,2025,AUTOMATIC,ELECTRIC,1000,0,16270000
BYD,M6 SUPERIOR CAPTAIN,2025,AUTOMATIC,ELECTRIC,1000,0,17400000
BYD,M6 SUPERIOR,2025,AUTOMATIC,ELECTRIC,1000,0,17400000
BYD,SEAL DYNAMIC,2025,AUTOMATIC,ELECTRIC,1000,0,19700000
BYD,SEAL PREMIUM,2025,AUTOMATIC,ELECTRIC,1000,0,54700000
BYD,SEAL PERFORMANCE,2025,AUTOMATIC,ELECTRIC,1000,0,78050000
BYD,SHARK PREMIUM,2025,AUTOMATIC,ELECTRIC,1000,0,25300000
BYD,SHARK,2025,AUTOMATIC,ELECTRIC,1000,0,25300000
