make,model,transmission,fuel_type,engine_cc,year,vehicle_price
BMW,225XE,AUTOMATIC,HYBRID,1500,2017,16000000
BMW,316I E30 M40 EFI,MANUAL,PETROL,1600,1990,3500000
BMW,318I,AUTOMATIC,PETROL,1500,2018,23200000
BMW,318I LUXURY LINE,AUTOMATIC,PETROL,1500,2016,19500000
BMW,318I M SPORT,AUTOMATIC,PETROL,1500,2018,23500000
BMW,318I M SPORT,AUTOMATIC,PETROL,15000,2019,25000000
BMW,320D E46,MANUAL,DIESEL,2000,2000,7500000
BMW,320I,AUTOMATIC,PETROL,1990,2011,11000000
BMW,520D,AUTOMATIC,DIESEL,2000,2006,11695000
BMW,520D,AUTOMATIC,DIESEL,2000,2007,13245833
BMW,520D,AUTOMATIC,DIESEL,2000,2008,14796667
BMW,520D,AUTOMATIC,DIESEL,2000,2009,16347500
BMW,520D,AUTOMATIC,DIESEL,2000,2010,17898333
BMW,520D,AUTOMATIC,DIESEL,2000,2011,19449167
BMW,520D,AUTOMATIC,DIESEL,2000,2012,21000000
BMW,520D,AUTOMATIC,DIESEL,2000,2013,21000001
BMW,520D,AUTOMATIC,DIESEL,2000,2014,26000000
BMW,520D,AUTOMATIC,PETROL,1995,2015,27500000
BMW,520D M SPORT,AUTOMATIC,DIESEL,2000,2012,22500000
BMW,520D MSPORT,AUTOMATIC,DIESEL,2000,2013,24500000
BMW,520I,AUTOMATIC,PETROL,2000,2012,18850000
BMW,523I,AUTOMATIC,PETROL,2500,2010,17000000
BMW,530E M SPORT,AUTOMATIC,PETROL,-,2017,34500000
BMW,530I M-SPORT STRAIGHT,AUTOMATIC,PETROL,2000,2017,41750000
BMW,730LD M-SPORT,AUTOMATIC,DIESEL,3000,2011,38500000
BMW,740,AUTOMATIC,HYBRID,2979,2014,37500000
BMW,740 LI,AUTOMATIC,PETROL,2979,2011,30000000
BMW,740E,AUTOMATIC,PETROL,2000,2017,45000000
BMW,740E M SPORT INDIVIDUAL,AUTOMATIC,PETROL,2000,2018,42790000
BMW,740I ACTIVE HYBRID,AUTOMATIC,PETROL,2979,2014,32500000
BMW,740LE MSPORT LWB,AUTOMATIC,PETROL,2000,2018,49000000
BMW,740LI,AUTOMATIC,PETROL,2996,2011,23500000
BMW,E46,MANUAL,DIESEL,2000,2000,6875000
BMW,E46 320D,MANUAL,DIESEL,2000,2000,5775000
BMW,F30 318I,AUTOMATIC,PETROL,1500,2016,22800000
BMW,I3 REX,AUTOMATIC,ELECTRIC,125,2017,12500000
BMW,I8 ROADSTER LIMITED,MANUAL,PETROL,1500,2019,44500000
BMW,MINI COOPER S,AUTOMATIC,PETROL,1600,2004,7350000
BMW,X1,AUTOMATIC,PETROL,1500,2019,28000000
BMW,X1,AUTOMATIC,PETROL,1500,2020,31118000
BMW,X1,AUTOMATIC,PETROL,1500,2021,34236000
BMW,X1,AUTOMATIC,PETROL,1500,2022,37354000
BMW,X1,AUTOMATIC,PETROL,1500,2023,40472000
