Date,Make,Type,Title,Location,Mileage,Overview Price,Detail Price,Engine CC,YOM,Post Make,Model,Gear,Fuel Type,Post URL,Image URL
8/5/2025,micro,cars,Micro Panda 2015 Car,Malabe,84000 (km),"Rs. 3,190,000","Rs. 3,190,000",1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-malabe-10152320,https://riyasewana.com/thumb/thumbmicro-panda-511195922241.jpg
8/5/2025,micro,cars,Micro EMGrand 7 2015 Car,Gampaha,91000 (km),"Rs. 5,350,000","Rs. 5,350,000",1800,2015,Micro,EMGrand 7,Automatic,Petrol,https://riyasewana.com/buy/micro-emgrand-7-sale-gampaha-10152034,https://riyasewana.com/thumb/thumbmicro-emgrand-7-2015-510362612191.jpg
8/5/2025,micro,cars,Micro PANDA CROSS 2017 Car,Colombo,65045 (km),"Rs. 4,275,000","Rs. 4,275,000",1000,2017,Micro,PANDA CROSS,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-colombo-10151986,https://riyasewana.com/thumb/thumbmicro-panda-cross-510281971.jpg
8/5/2025,micro,cars,Micro MX7 Mark 2 2014 Car,Mirigama,1 (km),"Rs. 3,875,000","Rs. 3,875,000",1498,2014,Micro,MX7 Mark 2,Manual,Petrol,https://riyasewana.com/buy/micro-mx7-mark-sale-mirigama-10151958,https://riyasewana.com/thumb/thumbmicro-mx7-mark2-5102438731.jpg
8/5/2025,micro,cars,Micro MX7 Mark 2 2012 Car,Ja-Ela,153400 (km),"Rs. 3,250,000","Rs. 3,250,000",1500,2012,Micro,MX7 Mark 2,Manual,Petrol,https://riyasewana.com/buy/micro-mx7-mark-sale-ja-ela-10151674,https://riyasewana.com/thumb/thumbmicro-mx7-5941554411.jpg
8/5/2025,micro,cars,Micro Panda 2011 Car,Kurunegala,85000 (km),"Rs. 2,850,000","Rs. 2,850,000",1300,2011,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-kurunegala-10151561,https://riyasewana.com/thumb/thumbmicro-panda-5929234921.jpg
8/5/2025,micro,cars,Micro Panda 2015 Car,Anuradapura,100000 (km),"Rs. 3,325,000","Rs. 3,325,000",1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-anuradapura-10151543,https://riyasewana.com/thumb/thumbmicro-panda-59273022751.jpg
8/5/2025,micro,cars,Micro Lifan 2010 Car,Dompe,151240 (km),"Rs. 1,825,000","Rs. 1,825,000",1600,2010,Micro,Lifan,Manual,Petrol,https://riyasewana.com/buy/micro-lifan-sale-dompe-10151459,https://riyasewana.com/thumb/thumbmicro-lifan-5918554151.jpg
8/5/2025,micro,cars,Micro Panda 2015 Car,Panadura,108000 (km),"Rs. 3,225,000","Rs. 3,225,000",1000,2015,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-panadura-10151449,https://riyasewana.com/thumb/thumbmicro-panda-2015-59180612031.jpg
8/5/2025,micro,cars,Micro Panda 2014 Car,Panadura,,"Rs. 3,295,000","Rs. 3,295,000",1000,2014,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-panadura-10151417,https://riyasewana.com/thumb/thumbmicro-panda-5915154751.jpg
8/5/2025,micro,cars,Micro Panda 2013 Car,Malabe,123456 (km),Negotiable,Negotiable,997,2013,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-malabe-10151362,https://riyasewana.com/thumb/thumbmicro-panda-591036111.jpg
8/5/2025,micro,cars,Micro Panda 2014 Car,Malabe,65000 (km),Negotiable,Negotiable,1000,2014,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-malabe-10151224,https://riyasewana.com/thumb/thumbmicro-panda-5855424181.jpg
8/5/2025,micro,cars,Micro Panda Cross 2015 Car,Kaduwela,86174 (km),"Rs. 3,990,000","Rs. 3,990,000",1300,2015,Micro,Panda Cross,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-kaduwela-10151108,https://riyasewana.com/thumb/thumbmicro-panda-cross-58444022941.jpg
8/5/2025,micro,cars,Micro Mx7 2015 Car,Malabe,123456 (km),Negotiable,Negotiable,1498,2015,Micro,Mx7,Manual,Petrol,https://riyasewana.com/buy/micro-mx7-sale-malabe-10150980,https://riyasewana.com/thumb/thumbmicro-mx7-582844341.jpg
8/4/2025,micro,cars,Micro Panda 2018 Car,Horana,46400 (km),Negotiable,Negotiable,1000,2018,Micro,Panda,Manual,Petrol,https://riyasewana.com/buy/micro-panda-sale-horana-10150165,https://riyasewana.com/thumb/thumbmicro-panda-2018-423344812011.jpg
8/4/2025,micro,cars,Micro Trend 2012 Car,Kurunegala,55000 (km),"Rs. 1,850,000","Rs. 1,850,000",1000,2012,Micro,Trend,Manual,Petrol,https://riyasewana.com/buy/micro-trend-sale-kurunegala-10149902,https://riyasewana.com/thumb/thumbmicro-trend-2012-421311712051.jpg
8/4/2025,micro,cars,Micro Panda Cross 2014 Car,Panadura,103000 (km),"Rs. 3,575,000","Rs. 3,575,000",1300,2014,Micro,Panda Cross,Manual,Petrol,https://riyasewana.com/buy/micro-panda-cross-sale-panadura-10149432,https://riyasewana.com/thumb/thumbmicro-panda-cross-2014-419231012661.jpg
8/4/2025,micro,cars,Micro Panda 1.0 2014 Car,Matugama,104000 (km),"Rs. 3,175,000","Rs. 3,175,000",1000,2014,Micro,Panda 1.0,Manual,Petrol,https://riyasewana.com/buy/micro-panda-1-0-sale-matugama-10149374,https://riyasewana.com/thumb/thumbmicro-panda-1-0-2014-419123912561.jpg
8/4/2025,micro,cars,Micro Emgrand 2015 Car,Ambalangoda,128000 (km),"Rs. 4,175,000","Rs. 4,175,000",1800,2015,Micro,Emgrand,Automatic,Petrol,https://riyasewana.com/buy/micro-emgrand-sale-ambalangoda-10149103,https://riyasewana.com/thumb/thumbmicro-emgrand-41818064781.jpg
8/4/2025,micro,cars,Micro Panda LC 2015 Car,Chilaw,66000 (km),"Rs. 3,275,000","Rs. 3,275,000",1000,2015,Micro,Panda LC,Manual,Petrol,https://riyasewana.com/buy/micro-panda-lc-sale-chilaw-10148852,https://riyasewana.com/thumb/thumbmicro-panda-lc-4172521191.jpg
